Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003318s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003183s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003226s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003321s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.001398s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.001124s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.001164s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.001343s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.001172s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.001140s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.001155s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.001340s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.001369s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003416s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003403s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003545s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003142s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003158s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003095s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003312s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003242s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003170s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003429s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003295s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003105s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003379s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003105s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003352s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003319s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003204s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003095s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003483s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003222s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003132s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003222s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003333s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003231s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003155s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003192s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003409s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003353s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003438s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003421s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003539s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003447s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003431s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003413s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003542s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003441s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003436s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003408s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003555s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003419s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003424s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003412s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003549s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003447s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003463s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003415s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003548s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003447s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003398s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003431s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003556s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003211s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003401s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003126s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003393s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003169s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003375s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.002755s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003271s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003292s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003213s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003118s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003160s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003377s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003420s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003181s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003309s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003110s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003184s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003226s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003546s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003291s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003238s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003212s
