Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.000731s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.000746s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.000774s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.000781s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.000729s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.000754s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.000771s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.000768s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001586s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001635s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001580s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001838s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001295s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001570s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001649s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001358s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001578s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001305s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001566s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001586s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.000937s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001531s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001672s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001403s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001222s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001486s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.000917s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001657s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001603s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001514s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001091s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001225s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001630s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001529s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001667s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001064s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001613s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001640s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001243s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001612s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001636s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001615s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001558s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001572s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001617s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001566s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001597s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001537s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001608s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001637s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001637s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001619s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001477s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001630s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001680s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001582s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001576s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001760s
